Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000167641,PPP1R14A,Gene Expression,0.2827239989257964,0.0,0.0,357,1.1563584134697091,120
ENSG00000148180,GSN,Gene Expression,0.2817544728736914,0.0,0.0,986,2.394696251578798,174
ENSG00000102886,GDPD3,Gene Expression,0.2815045841290559,0.0,0.0,191,0.3126506530705482,61
ENSG00000166920,C15orf48,Gene Expression,0.2804454095209295,0.0,0.0,231,0.5763075912711209,67
ENSG00000099617,EFNA2,Gene Expression,0.2802774846593798,0.0,0.0,73,0.08833908114105024,24
ENSG00000106565,TMEM176B,Gene Expression,0.2794203215602122,0.0,0.0,80,0.16518052514364026,41
ENSG00000211893,IGHG2,Gene Expression,0.2787614157016335,0.0,0.0,733,2.3193225122396184,121
ENSG00000167653,PSCA,Gene Expression,0.2784852374247557,0.0,0.0,67,0.10317363548317635,25
ENSG00000106541,AGR2,Gene Expression,0.27840412951065086,0.0,0.0,158,0.28987985024514257,52
ENSG00000115648,MLPH,Gene Expression,0.2776821712334038,0.0,0.0,308,0.7472092795540505,88
ENSG00000135916,ITM2C,Gene Expression,0.2755883434071592,0.0,0.0,1064,2.53670130847077,173
ENSG00000100234,TIMP3,Gene Expression,0.2722565388129901,0.0,0.0,167,0.4677343236555297,76
ENSG00000114942,EEF1B2,Gene Expression,0.27023220264726405,0.0,0.0,591,1.4796983136535813,145
ENSG00000135773,CAPN9,Gene Expression,0.2696938053032848,0.0,0.0,32,0.03984651104717605,15
ENSG00000189184,PCDH18,Gene Expression,0.26967108383544325,0.0,0.0,146,0.33953452662106615,59
ENSG00000115414,FN1,Gene Expression,0.26915161546168,0.0,0.0,243,0.649995882283323,84
ENSG00000107317,PTGDS,Gene Expression,0.2687334380828152,0.0,0.0,802,3.816249033352203,173
ENSG00000120885,CLU,Gene Expression,0.2674170293053928,0.0,0.0,235,0.5636339342142783,90
ENSG00000131981,LGALS3,Gene Expression,0.26636443594870846,0.0,0.0,649,1.2371633431743028,125
ENSG00000197256,KANK2,Gene Expression,0.26594891513056856,0.0,0.0,155,0.41289395882696417,68
ENSG00000108846,ABCC3,Gene Expression,0.2656606478728547,0.0,0.0,333,0.8355104741846456,89
ENSG00000130529,TRPM4,Gene Expression,0.26563271439046326,0.0,0.0,582,1.6974309893750439,132
ENSG00000162576,MXRA8,Gene Expression,0.26400838931405973,0.0,0.0,188,0.5184762032790077,80
ENSG00000132698,RAB25,Gene Expression,0.2628299677275188,0.0,0.0,382,0.8501357218746254,86
ENSG00000157613,CREB3L1,Gene Expression,0.26076061178544063,0.0,0.0,554,1.4210368951070416,126
ENSG00000167123,CERCAM,Gene Expression,0.2605598232014628,0.0,0.0,140,0.411974206336513,69
ENSG00000169604,ANTXR1,Gene Expression,0.25891928075950127,0.0,0.0,137,0.33418029327495036,64
ENSG00000154330,PGM5,Gene Expression,0.2579532270468234,0.0,0.0,98,0.2517172150178974,57
ENSG00000179091,CYC1,Gene Expression,0.2565143201366867,0.0,0.0,505,1.4320437494543605,137
ENSG00000165424,ZCCHC24,Gene Expression,0.2563744820771044,0.0,0.0,76,0.1836756084069462,42
ENSG00000099622,CIRBP,Gene Expression,0.25606043339183343,0.0,0.0,494,1.235226834206755,141
ENSG00000049323,LTBP1,Gene Expression,0.2549548145729477,0.0,0.0,95,0.2539030203234449,52
ENSG00000044012,GUCA2B,Gene Expression,0.25284509992438536,0.0,0.0,69,0.19308128220944393,29
ENSG00000163082,SGPP2,Gene Expression,0.25084071318968776,0.0,0.0,128,0.20150412316910818,46
ENSG00000168477,TNXB,Gene Expression,0.24928237466022166,0.0,0.0,240,0.7502040858752873,89
ENSG00000167658,EEF2,Gene Expression,0.2479530647039455,0.0,0.0,1927,5.080398821949874,207
ENSG00000039068,CDH1,Gene Expression,0.24791332889370302,0.0,0.0,357,0.7427886763811254,83
ENSG00000024422,EHD2,Gene Expression,0.24575708865716514,0.0,0.0,223,0.6554846494104885,89
ENSG00000172201,ID4,Gene Expression,0.2450364009552604,0.0,0.0,87,0.20247168726584874,51
ENSG00000166033,HTRA1,Gene Expression,0.2428660864551696,0.0,0.0,80,0.1698141058191415,43
ENSG00000005001,PRSS22,Gene Expression,0.24131796453140475,0.0,0.0,118,0.23550250679282436,45
ENSG00000159840,ZYX,Gene Expression,0.24056369486894266,0.0,0.0,196,0.464266054488831,89
ENSG00000144354,CDCA7,Gene Expression,0.23822464093765264,0.0,0.0,91,0.38146530545838686,39
ENSG00000182253,SYNM,Gene Expression,0.23714000356088424,0.0,0.0,80,0.207881795721061,46
ENSG00000081923,ATP8B1,Gene Expression,0.23583389217138095,0.0,0.0,284,0.5189823976372692,81
ENSG00000052344,PRSS8,Gene Expression,0.23557412147389148,0.0,0.0,177,0.32401537198556635,55
ENSG00000182718,ANXA2,Gene Expression,0.23463568261695644,0.0,0.0,333,0.780325938948465,97
ENSG00000113722,CDX1,Gene Expression,0.23407307006802297,0.0,0.0,239,0.5215376017217006,70
ENSG00000134240,HMGCS2,Gene Expression,0.23373352285326549,0.0,0.0,292,0.649504653016801,82
ENSG00000013588,GPRC5A,Gene Expression,0.23258644627516276,0.0,0.0,138,0.28390216335146307,48
ENSG00000130702,LAMA5,Gene Expression,0.23154715641006082,0.0,0.0,100,0.22179779624933205,54
ENSG00000132386,SERPINF1,Gene Expression,0.23152574926461789,0.0,0.0,127,0.3304743911477766,58
ENSG00000137767,SQOR,Gene Expression,0.23124190185486665,0.0,0.0,516,0.9911223589529691,108
ENSG00000129009,ISLR,Gene Expression,0.23117344939726098,0.0,0.0,101,0.22776282377199503,54
